abandon	拋棄
fundamental	基礎的；主要的
funeral	葬禮
furious	狂怒的；猛烈的
furnish	供給；配備家具
furnishings	家具
furthermore	而且；此外
gallery	畫廊；走廊
gangster	幫派成員；歹徒
gaze	凝視
gear	使驅動；裝上齒輪
gene	基因
genetic	基因的；遺傳學上的
genetics	遺傳學
generation	世代；產生
generosity	慷慨；寬大
genius	天才；才智
genuine	真正的；真誠的
genuinely	真正地；真誠地
germ	微生物；細菌；胚
gifted	有天賦的
gigantic	巨大的
giggle	咯咯地笑
ginger	薑
glide	滑動；滑行
glimpse	瞥見
globe	球體；地球；世界
glorious	光榮的；壯麗的
goods	商品
grace	使...增光彩
graceful	優雅的
gracious	親切的
graduation	畢業(典禮)
grammar	文法
grammatical	文法上的
grapefruit	葡萄柚
grateful	感激的
gratitude	感謝；感激之情
grave	嚴重的；墳墓；墓穴
greasy	油膩的
grease	油脂
greeting	問候；賀詞
grief	極度悲傷
grieve	悲痛
grind	磨碎
guarantee	保證；保證書
guilt	犯罪；罪惡感
guilty	有罪的；內疚的
gulf	海灣；鴻溝
habitual	習慣性的
halt	停止
handwriting	字跡
harden	使變硬；使冷酷無情
hardship	苦難
hardware	五金；硬體設備
harmonica	口琴
harmony	調和；和諧
harmonious	和諧的
harsh	粗糙的；嚴厲的
haste	急忙
hasten	催促；加速
headphone(s)	耳機
healthful	有益健康的
helicopter	直升機
herd	(人、動物)群集；成群移動
hesitation	猶豫
highly	非常地；高高地；強烈地
honeymoon	蜜月
honorable	值得尊敬的；隆重的
hook	用勾掛住；掛勾
hooked	著迷的
hopeful	有希望的；抱著希望的
horizon	地平線；視野
horizontal	地平線的；水平線的
horrify	使恐懼
horrified	驚懼的
horrifying	使人驚懼的
hose	用水管澆水；橡皮水管
host	招待客人；主持人；主辦國
hostel	招待所
household	家人；家庭；家務的
householder	一家之主
housewife	家庭主婦
housework	家事
humanity	人類；人性
humidity	濕度
hurricane	颶風
hydrogen	氫
iceberg	冰山
identical	同樣的
identification/ID	辨認；辨認之物
identify	辨別；有同感
idiom	慣用語；語法
idle	遊手好閒的；無用的
idol	偶像
ignorant	無知的
illustrate	說明；用例子證明
illustration	例子；插圖
imaginable	可想到的
imaginary	虛構的；想像的
imaginative	富有創意的
imitate	模仿
imitation	模仿；仿造品
immigrant	移居者
immigrate	移居而來
immigration	移居
impact	衝擊
imply	暗示；含有...意思
implication	暗示；含意
impression	印象
incident	事件
including	包括
indication	指示；暗示
industrialize	使工業化
infant	嬰孩
infancy	幼兒期
infect	感染
infection	感染；傳染病
infectious	感染的
inflation	通貨膨脹
influential	有影響力的
information	資訊；情報；知識
informative	給予知識的
ingredient	材料；成份
initial	最初的；開頭的字母
innocence	無罪；清白
input	輸入
insert	插入
inspection	檢查
inspiration	鼓舞；靈感
inspire	鼓舞；激發
inspiring	激勵的
install	安裝；安頓；使就任
instinct	直覺；天份
instinctive	本能的
instruct	教導；指示
instructor	講師；教師
insult	侮辱
insurance	保險
insure	投保
intellectual	有智慧的；知識份子
intellect	智能；智者；知識份子
intelligence	智能
intelligent	聰明的
intend	意圖，打算
intended	預定的；故意的
intention	意圖
intense	強烈的；激烈的
intensify	變強烈
intensity	強烈；強度
intensive	集中的
interact	互動
interaction	互動
interfere	妨礙；干涉
interference	妨礙；干涉
intermediate	中級程度的；中間的
Internet/internet	網際網路
interpret	解釋；口譯；翻譯
interpretation	說明；口譯
interpreter	口譯者
interruption	妨礙；中斷
intimate	精密的；精通的；私下的
intimacy	親密；熟悉
intonation	音調；抑揚
invade	侵略；侵犯
invasion	侵略；侵犯
invention	發明
invest	投資；授予
investment	投資
investigation	調查
involve	投入；意味；包含
involvement	捲入；牽扯
isolate	使孤立；使隔離
isolated	被隔離的
isolation	孤立；隔離
itch	癢；渴望
itchy	癢的
jealousy	嫉妒；猜忌
junior	年少的；下級的；大學三年級
keen	銳利的；熱心的；敏銳的；激烈的
keenly	銳利地；激烈地；熱心地
keenness	銳利；激烈；熱心
knuckle	指關節
labor	勞動；勞力；辛勞工作
laborer	勞工
laboratory/lab	實驗室
lag	延遲；落後
largely	大部分地
lately	近來；最近
launch	(船)下水；(火箭)發射
lawful	合法的
lead	鉛
leaded	有鉛的
lean	倚靠；瘦的；無脂肪的
learned	有學問的；精通的
lecture	演講；講課；教訓
